"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_pubh_pub_header","pubh_guid","Data Publication header table","Globally Unique Identifier","char"
"dbo","pub_pubh_pub_header","pubh_row_id","Data Publication header table","Data Pub Row ID","bigint"
"dbo","pub_pubh_pub_header","pubh_lsn","Data Publication header table","Log Sequence Number","varbinary"
"dbo","pub_pubh_pub_header","pubh_trans_id","Data Publication header table","PUBH_TRANS_ID","varchar"
"dbo","pub_pubh_pub_header","pubh_create_dtm","Data Publication header table","PUBH_CREATE_DTM","datetime"
"dbo","pub_pubh_pub_header","pubh_status","Data Publication header table","PUBH_STATUS","char"
"dbo","pub_pubh_pub_header","pubh_spid","Data Publication header table","PUBH_SPID","int"
"dbo","pub_pubh_pub_header","pubh_user","Data Publication header table","Login Identification Name","varchar"
"dbo","pub_pubh_pub_header","pubh_type","Data Publication header table","Data Pub Type","varchar"
"dbo","pub_pubh_pub_header","pubh_key","Data Publication header table","Data Pub Key","varchar"
"dbo","pub_pubh_pub_header","pubh_topic","Data Publication header table","Kafka Topic","varchar"
"dbo","pub_pubh_pub_header","pubh_fs_lsn","Data Publication header table","Point Zero Log Sequence number","varbinary"
