"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_puls_load_stats","puls_table_name","Data Publication Load Statistics table.","Table Name","varchar"
"dbo","pub_puls_load_stats","puls_from_lsn","Data Publication Load Statistics table.","From Log Sequence Number","varbinary"
"dbo","pub_puls_load_stats","puls_to_lsn","Data Publication Load Statistics table.","To Log Sequence Number","varbinary"
"dbo","pub_puls_load_stats","puls_row_count","Data Publication Load Statistics table.","Row Count","int"
"dbo","pub_puls_load_stats","puls_deadlock_count","Data Publication Load Statistics table.","Deadlock count","int"
"dbo","pub_puls_load_stats","puls_begin_dtm","Data Publication Load Statistics table.","Begin Date/Time","datetime"
"dbo","pub_puls_load_stats","puls_end_dtm","Data Publication Load Statistics table.","End Date/Time","datetime"
"dbo","pub_puls_load_stats","puls_thread_id","Data Publication Load Statistics table.","Thread Identifier","int"
"dbo","pub_puls_load_stats","puls_create_dtm","Data Publication Load Statistics table.","Create Date and Time","datetime"
"dbo","pub_puls_load_stats","puls_run_dtm","Data Publication Load Statistics table.","Execution time of the data pub CDC process","datetime"
