"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbap_accum_ptr","pubh_sbap_row_id","Subscriber Accumulator Pointer Table","Row Identifier","numeric"
"dbo","pub_sbap_accum_ptr","pubh_guid","Subscriber Accumulator Pointer Table","Globally Unique Identifier","char"
"dbo","pub_sbap_accum_ptr","pubh_action_cd","Subscriber Accumulator Pointer Table","Data Pub Action Code","char"
"dbo","pub_sbap_accum_ptr","pubh_lsn","Subscriber Accumulator Pointer Table","Log Sequence Number","varbinary"
"dbo","pub_sbap_accum_ptr","pubh_seq_val","Subscriber Accumulator Pointer Table","Transaction Sequence","varbinary"
"dbo","pub_sbap_accum_ptr","sbsb_ck","Subscriber Accumulator Pointer Table","Subscriber Contrived Key","int"
"dbo","pub_sbap_accum_ptr","sbap_eff_dt","Subscriber Accumulator Pointer Table","Subscriber Family Accumulator Pointer Effective Date","datetime"
"dbo","pub_sbap_accum_ptr","sbap_term_dt","Subscriber Accumulator Pointer Table","Subscriber Family Accumulator Pointer Termination Date","datetime"
"dbo","pub_sbap_accum_ptr","sbsb_ck_to","Subscriber Accumulator Pointer Table","Subscriber Family Accumulator Contrived Key Pointer","int"
"dbo","pub_sbap_accum_ptr","sbap_lock_token","Subscriber Accumulator Pointer Table","Lock Token","int"
"dbo","pub_sbap_accum_ptr","atxr_source_id","Subscriber Accumulator Pointer Table","Attachment Source Id","datetime"
