"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbcs_class","sbsb_ck","Subscriber Class Information","Subscriber Contrived Key","int"
"dbo","pub_sbcs_class","pubh_sbcs_row_id","Subscriber Class Information","Row Identifier","numeric"
"dbo","pub_sbcs_class","pubh_guid","Subscriber Class Information","Globally Unique Identifier","char"
"dbo","pub_sbcs_class","pubh_action_cd","Subscriber Class Information","Data Pub Action Code","char"
"dbo","pub_sbcs_class","pubh_lsn","Subscriber Class Information","Log Sequence Number","varbinary"
"dbo","pub_sbcs_class","pubh_seq_val","Subscriber Class Information","Transaction Sequence","varbinary"
"dbo","pub_sbcs_class","sbcs_eff_dt","Subscriber Class Information","Subscriber Class Effective Date","datetime"
"dbo","pub_sbcs_class","sbcs_term_dt","Subscriber Class Information","Subscriber Class Termination Date","datetime"
"dbo","pub_sbcs_class","grgr_ck","Subscriber Class Information","Group Address Line 1","int"
"dbo","pub_sbcs_class","cscs_id","Subscriber Class Information","Class Identifier","char"
"dbo","pub_sbcs_class","sbcs_lock_token","Subscriber Class Information","Lock Token","smallint"
"dbo","pub_sbcs_class","atxr_source_id","Subscriber Class Information","Attachment Source Id","datetime"
"dbo","pub_sbcs_class","sys_last_upd_dtm","Subscriber Class Information","Last Update Datetime","datetime"
"dbo","pub_sbcs_class","sys_usus_id","Subscriber Class Information","Last Update User ID","varchar"
"dbo","pub_sbcs_class","sys_dbuser_id","Subscriber Class Information","Last Update DBMS User ID","varchar"
