"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sboa_out_area","pubh_sboa_row_id","Subscriber Out of Area","Row Identifier","numeric"
"dbo","pub_sboa_out_area","pubh_guid","Subscriber Out of Area","Globally Unique Identifier","char"
"dbo","pub_sboa_out_area","pubh_action_cd","Subscriber Out of Area","Data Pub Action Code","char"
"dbo","pub_sboa_out_area","pubh_lsn","Subscriber Out of Area","Log Sequence Number","varbinary"
"dbo","pub_sboa_out_area","pubh_seq_val","Subscriber Out of Area","Transaction Sequence","varbinary"
"dbo","pub_sboa_out_area","sbsb_ck","Subscriber Out of Area","Subscriber Contrived Key","int"
"dbo","pub_sboa_out_area","sboa_eff_dt","Subscriber Out of Area","Effective Date","datetime"
"dbo","pub_sboa_out_area","sboa_term_dt","Subscriber Out of Area","Termination Date","datetime"
"dbo","pub_sboa_out_area","grgr_ck","Subscriber Out of Area","Group Address Line 1","int"
"dbo","pub_sboa_out_area","sboa_lock_token","Subscriber Out of Area","Lock Token","smallint"
"dbo","pub_sboa_out_area","atxr_source_id","Subscriber Out of Area","Attachment Source Id","datetime"
"dbo","pub_sboa_out_area","sys_last_upd_dtm","Subscriber Out of Area","Last Update Datetime","datetime"
"dbo","pub_sboa_out_area","sys_usus_id","Subscriber Out of Area","Last Update User ID","varchar"
"dbo","pub_sboa_out_area","sys_dbuser_id","Subscriber Out of Area","Last Update DBMS User ID","varchar"
