"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbra_rate_act","pubh_sbra_row_id","Subscriber Rate Action","Row Identifier","numeric"
"dbo","pub_sbra_rate_act","pubh_guid","Subscriber Rate Action","Globally Unique Identifier","char"
"dbo","pub_sbra_rate_act","pubh_action_cd","Subscriber Rate Action","Data Pub Action Code","char"
"dbo","pub_sbra_rate_act","pubh_lsn","Subscriber Rate Action","Log Sequence Number","varbinary"
"dbo","pub_sbra_rate_act","pubh_seq_val","Subscriber Rate Action","Transaction Sequence","varbinary"
"dbo","pub_sbra_rate_act","sbra_row_id","Subscriber Rate Action","Row ID","numeric"
"dbo","pub_sbra_rate_act","grgr_ck","Subscriber Rate Action","Group Address Line 1","int"
"dbo","pub_sbra_rate_act","sgsg_ck","Subscriber Rate Action","Subgroup Contrived Key","int"
"dbo","pub_sbra_rate_act","sbsb_ck","Subscriber Rate Action","Subscriber Contrived Key","int"
"dbo","pub_sbra_rate_act","cspi_id","Subscriber Rate Action","Class Plan Identifier","char"
"dbo","pub_sbra_rate_act","sbra_type","Subscriber Rate Action","Type","char"
"dbo","pub_sbra_rate_act","sbra_sts","Subscriber Rate Action","Status","char"
"dbo","pub_sbra_rate_act","sbra_dgr_ind","Subscriber Rate Action","DOB/Gender/Relationship Indicator","char"
"dbo","pub_sbra_rate_act","sbra_req_dtm","Subscriber Rate Action","Request Date Time","datetime"
"dbo","pub_sbra_rate_act","sbra_lock_token","Subscriber Rate Action","Lock Token","smallint"
"dbo","pub_sbra_rate_act","atxr_source_id","Subscriber Rate Action","Attachment Source Id","datetime"
