"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbrd_rate_data","sbsb_ck","Subscriber Rate Information","Subscriber Contrived Key","int"
"dbo","pub_sbrd_rate_data","pubh_sbrd_row_id","Subscriber Rate Information","Row Identifier","numeric"
"dbo","pub_sbrd_rate_data","pubh_guid","Subscriber Rate Information","Globally Unique Identifier","char"
"dbo","pub_sbrd_rate_data","pubh_action_cd","Subscriber Rate Information","Data Pub Action Code","char"
"dbo","pub_sbrd_rate_data","pubh_lsn","Subscriber Rate Information","Log Sequence Number","varbinary"
"dbo","pub_sbrd_rate_data","pubh_seq_val","Subscriber Rate Information","Transaction Sequence","varbinary"
"dbo","pub_sbrd_rate_data","sbrd_eff_dt","Subscriber Rate Information","Effective Date","datetime"
"dbo","pub_sbrd_rate_data","sbrd_insq_dt","Subscriber Rate Information","Insequence Date","datetime"
"dbo","pub_sbrd_rate_data","grgr_ck","Subscriber Rate Information","Group Address Line 1","int"
"dbo","pub_sbrd_rate_data","sbrd_type","Subscriber Rate Information","Rate Data Type","char"
"dbo","pub_sbrd_rate_data","cspi_id","Subscriber Rate Information","Class Plan Identifier","char"
"dbo","pub_sbrd_rate_data","sbrd_units","Subscriber Rate Information","Subscriber Elected Units","int"
"dbo","pub_sbrd_rate_data","sbrd_lock_token","Subscriber Rate Information","Lock Token","smallint"
"dbo","pub_sbrd_rate_data","atxr_source_id","Subscriber Rate Information","Attachment Source Id","datetime"
