"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbsa_salary","pubh_sbsa_row_id","Subscriber Salary Data","Row Identifier","numeric"
"dbo","pub_sbsa_salary","pubh_guid","Subscriber Salary Data","Globally Unique Identifier","char"
"dbo","pub_sbsa_salary","pubh_action_cd","Subscriber Salary Data","Data Pub Action Code","char"
"dbo","pub_sbsa_salary","pubh_lsn","Subscriber Salary Data","Log Sequence Number","varbinary"
"dbo","pub_sbsa_salary","pubh_seq_val","Subscriber Salary Data","Transaction Sequence","varbinary"
"dbo","pub_sbsa_salary","sbsb_ck","Subscriber Salary Data","Subscriber Contrived Key","int"
"dbo","pub_sbsa_salary","sbsa_eff_dt","Subscriber Salary Data","Subscriber Salary Effective Date","datetime"
"dbo","pub_sbsa_salary","grgr_ck","Subscriber Salary Data","Group Address Line 1","int"
"dbo","pub_sbsa_salary","sbsa_sal_type","Subscriber Salary Data","Subscriber Salary Type","char"
"dbo","pub_sbsa_salary","sbsa_sal_amt","Subscriber Salary Data","Subscriber Salary Amount","money"
"dbo","pub_sbsa_salary","sbsa_oop_ind","Subscriber Salary Data","Salary OOP Indicator","char"
"dbo","pub_sbsa_salary","sbsa_lock_token","Subscriber Salary Data","Lock Token","smallint"
"dbo","pub_sbsa_salary","atxr_source_id","Subscriber Salary Data","Attachment Source Id","datetime"
