"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbsd_splt_dtl","pubh_sbsd_row_id","Subscriber Expanded Split Detail","Row Identifier","numeric"
"dbo","pub_sbsd_splt_dtl","pubh_guid","Subscriber Expanded Split Detail","Globally Unique Identifier","char"
"dbo","pub_sbsd_splt_dtl","pubh_action_cd","Subscriber Expanded Split Detail","Data Pub Action Code","char"
"dbo","pub_sbsd_splt_dtl","pubh_lsn","Subscriber Expanded Split Detail","Log Sequence Number","varbinary"
"dbo","pub_sbsd_splt_dtl","pubh_seq_val","Subscriber Expanded Split Detail","Transaction Sequence","varbinary"
"dbo","pub_sbsd_splt_dtl","sbsb_ck","Subscriber Expanded Split Detail","Subscriber Contrived Key","int"
"dbo","pub_sbsd_splt_dtl","sbsp_eff_dt","Subscriber Expanded Split Detail","Effective Date","datetime"
"dbo","pub_sbsd_splt_dtl","cspd_cat","Subscriber Expanded Split Detail","Product Category","char"
"dbo","pub_sbsd_splt_dtl","sbsd_splt_to_ind","Subscriber Expanded Split Detail","Split To","char"
"dbo","pub_sbsd_splt_dtl","sbsd_seq_no","Subscriber Expanded Split Detail","Sequence Number","smallint"
"dbo","pub_sbsd_splt_dtl","bgbg_ck","Subscriber Expanded Split Detail","Billing Group Contrived Key","int"
"dbo","pub_sbsd_splt_dtl","sbsd_splt_pct","Subscriber Expanded Split Detail","Split Percent","int"
"dbo","pub_sbsd_splt_dtl","sbsd_mctr_styp","Subscriber Expanded Split Detail","Split Type","char"
"dbo","pub_sbsd_splt_dtl","sbsd_splt_rmndr_cd","Subscriber Expanded Split Detail","Remainder Code","char"
"dbo","pub_sbsd_splt_dtl","sbsd_lock_token","Subscriber Expanded Split Detail","Lock Token","smallint"
"dbo","pub_sbsd_splt_dtl","atxr_source_id","Subscriber Expanded Split Detail","Attachment Source Id","datetime"
