"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbsg_relation","sbsb_ck","Subscriber's Subgroup Data Relationship","Subscriber Contrived Key","int"
"dbo","pub_sbsg_relation","pubh_sbsg_row_id","Subscriber's Subgroup Data Relationship","Row Identifier","numeric"
"dbo","pub_sbsg_relation","pubh_guid","Subscriber's Subgroup Data Relationship","Globally Unique Identifier","char"
"dbo","pub_sbsg_relation","pubh_action_cd","Subscriber's Subgroup Data Relationship","Data Pub Action Code","char"
"dbo","pub_sbsg_relation","pubh_lsn","Subscriber's Subgroup Data Relationship","Log Sequence Number","varbinary"
"dbo","pub_sbsg_relation","pubh_seq_val","Subscriber's Subgroup Data Relationship","Transaction Sequence","varbinary"
"dbo","pub_sbsg_relation","sbsg_eff_dt","Subscriber's Subgroup Data Relationship","Subgroup Relationship Effective Date","datetime"
"dbo","pub_sbsg_relation","grgr_ck","Subscriber's Subgroup Data Relationship","Group Address Line 1","int"
"dbo","pub_sbsg_relation","sgsg_ck","Subscriber's Subgroup Data Relationship","Subgroup Contrived Key","int"
"dbo","pub_sbsg_relation","sbsg_term_dt","Subscriber's Subgroup Data Relationship","Subgroup Termination Date","datetime"
"dbo","pub_sbsg_relation","sbsg_mctr_trsn","Subscriber's Subgroup Data Relationship","Subgroup Termination Reason","char"
"dbo","pub_sbsg_relation","sbsg_lock_token","Subscriber's Subgroup Data Relationship","Lock Token","smallint"
"dbo","pub_sbsg_relation","atxr_source_id","Subscriber's Subgroup Data Relationship","Attachment Source Id","datetime"
"dbo","pub_sbsg_relation","sys_last_upd_dtm","Subscriber's Subgroup Data Relationship","Last Update Datetime","datetime"
"dbo","pub_sbsg_relation","sys_usus_id","Subscriber's Subgroup Data Relationship","Last Update User ID","varchar"
"dbo","pub_sbsg_relation","sys_dbuser_id","Subscriber's Subgroup Data Relationship","Last Update DBMS User ID","varchar"
