"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbsp_splt_prem","pubh_sbsp_row_id","Subscriber Expanded Split Premium","Row Identifier","numeric"
"dbo","pub_sbsp_splt_prem","pubh_guid","Subscriber Expanded Split Premium","Globally Unique Identifier","char"
"dbo","pub_sbsp_splt_prem","pubh_action_cd","Subscriber Expanded Split Premium","Data Pub Action Code","char"
"dbo","pub_sbsp_splt_prem","pubh_lsn","Subscriber Expanded Split Premium","Log Sequence Number","varbinary"
"dbo","pub_sbsp_splt_prem","pubh_seq_val","Subscriber Expanded Split Premium","Transaction Sequence","varbinary"
"dbo","pub_sbsp_splt_prem","sbsb_ck","Subscriber Expanded Split Premium","Subscriber Contrived Key","int"
"dbo","pub_sbsp_splt_prem","sbsp_eff_dt","Subscriber Expanded Split Premium","Effective Date","datetime"
"dbo","pub_sbsp_splt_prem","cspd_cat","Subscriber Expanded Split Premium","Product Category","char"
"dbo","pub_sbsp_splt_prem","sbsp_term_dt","Subscriber Expanded Split Premium","Termination Date","datetime"
"dbo","pub_sbsp_splt_prem","grgr_ck","Subscriber Expanded Split Premium","Group Address Line 1","int"
"dbo","pub_sbsp_splt_prem","sbsp_lock_token","Subscriber Expanded Split Premium","Lock Token","smallint"
"dbo","pub_sbsp_splt_prem","atxr_source_id","Subscriber Expanded Split Premium","Attachment Source Id","datetime"
