"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbsr_sb_rate","pubh_sbsr_row_id","Subscriber Rate","Row Identifier","numeric"
"dbo","pub_sbsr_sb_rate","pubh_guid","Subscriber Rate","Globally Unique Identifier","char"
"dbo","pub_sbsr_sb_rate","pubh_action_cd","Subscriber Rate","Data Pub Action Code","char"
"dbo","pub_sbsr_sb_rate","pubh_lsn","Subscriber Rate","Log Sequence Number","varbinary"
"dbo","pub_sbsr_sb_rate","pubh_seq_val","Subscriber Rate","Transaction Sequence","varbinary"
"dbo","pub_sbsr_sb_rate","sbsb_ck","Subscriber Rate","Subscriber Contrived Key","int"
"dbo","pub_sbsr_sb_rate","sbsr_type","Subscriber Rate","Subscriber Rating Type","char"
"dbo","pub_sbsr_sb_rate","pdpd_id","Subscriber Rate","Product Identifier","char"
"dbo","pub_sbsr_sb_rate","pdbl_id","Subscriber Rate","Component ID","char"
"dbo","pub_sbsr_sb_rate","pdrt_type","Subscriber Rate","Premium Rate Table Type","char"
"dbo","pub_sbsr_sb_rate","sbsr_eff_dt","Subscriber Rate","Subscriber Rating Effective Date","datetime"
"dbo","pub_sbsr_sb_rate","sbsr_term_dt","Subscriber Rate","Subscriber Rating Termination Date","datetime"
"dbo","pub_sbsr_sb_rate","sbsr_source","Subscriber Rate","Source of Subscriber Rate Update","varchar"
"dbo","pub_sbsr_sb_rate","sbsr_basis","Subscriber Rate","Subscriber Rate Basis","smallint"
"dbo","pub_sbsr_sb_rate","sbsr_prem_sb","Subscriber Rate","Modal Subscriber Override Premium","money"
"dbo","pub_sbsr_sb_rate","sbsr_prem_dep","Subscriber Rate","Modal Dependent Override Premium","money"
"dbo","pub_sbsr_sb_rate","sbsr_vol","Subscriber Rate","Subscriber Override Volume","money"
"dbo","pub_sbsr_sb_rate","sbsr_sb_mod_amt","Subscriber Rate","Modal Subscriber Premium Modifier Amount","money"
"dbo","pub_sbsr_sb_rate","sbsr_dep_mod_amt","Subscriber Rate","Dependent Premium Modifier Factor","money"
"dbo","pub_sbsr_sb_rate","sbsr_sb_mod_fctr","Subscriber Rate","Subscriber Premium Modifier Factor","int"
"dbo","pub_sbsr_sb_rate","sbsr_dep_mod_fctr","Subscriber Rate","Dependent Premium Modifier Factor","int"
"dbo","pub_sbsr_sb_rate","sbsr_lock_token","Subscriber Rate","Lock Token","smallint"
"dbo","pub_sbsr_sb_rate","atxr_source_id","Subscriber Rate","Attachment Source Id","datetime"
