"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbwm_sb_msg","pubh_sbwm_row_id","Subscriber Level Warning Messages","Row Identifier","numeric"
"dbo","pub_sbwm_sb_msg","pubh_guid","Subscriber Level Warning Messages","Globally Unique Identifier","char"
"dbo","pub_sbwm_sb_msg","pubh_action_cd","Subscriber Level Warning Messages","Data Pub Action Code","char"
"dbo","pub_sbwm_sb_msg","pubh_lsn","Subscriber Level Warning Messages","Log Sequence Number","varbinary"
"dbo","pub_sbwm_sb_msg","pubh_seq_val","Subscriber Level Warning Messages","Transaction Sequence","varbinary"
"dbo","pub_sbwm_sb_msg","sbsb_ck","Subscriber Level Warning Messages","Subscriber Contrived Key","int"
"dbo","pub_sbwm_sb_msg","sbwm_eff_dt","Subscriber Level Warning Messages","Effective Date","datetime"
"dbo","pub_sbwm_sb_msg","wmds_seq_no","Subscriber Level Warning Messages","User Defined Warning Message","smallint"
"dbo","pub_sbwm_sb_msg","sbwm_term_dt","Subscriber Level Warning Messages","Termination Date","datetime"
"dbo","pub_sbwm_sb_msg","sbwm_mctr_trsn","Subscriber Level Warning Messages","Termination Reason","char"
"dbo","pub_sbwm_sb_msg","grgr_ck","Subscriber Level Warning Messages","Group Address Line 1","int"
"dbo","pub_sbwm_sb_msg","sbwm_lock_token","Subscriber Level Warning Messages","Lock Token","smallint"
"dbo","pub_sbwm_sb_msg","atxr_source_id","Subscriber Level Warning Messages","Attachment Source Id","datetime"
"dbo","pub_sbwm_sb_msg","sys_last_upd_dtm","Subscriber Level Warning Messages","Last Update Datetime","datetime"
"dbo","pub_sbwm_sb_msg","sys_usus_id","Subscriber Level Warning Messages","Last Update User ID","varchar"
"dbo","pub_sbwm_sb_msg","sys_dbuser_id","Subscriber Level Warning Messages","Last Update DBMS User ID","varchar"
