"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sgcc_cat_count","pubh_sgcc_row_id","Subgroup Category Count","Row Identifier","numeric"
"dbo","pub_sgcc_cat_count","pubh_guid","Subgroup Category Count","Globally Unique Identifier","char"
"dbo","pub_sgcc_cat_count","pubh_action_cd","Subgroup Category Count","Data Pub Action Code","char"
"dbo","pub_sgcc_cat_count","pubh_lsn","Subgroup Category Count","Log Sequence Number","varbinary"
"dbo","pub_sgcc_cat_count","pubh_seq_val","Subgroup Category Count","Transaction Sequence","varbinary"
"dbo","pub_sgcc_cat_count","sgsg_ck","Subgroup Category Count","Subgroup Contrived Key","int"
"dbo","pub_sgcc_cat_count","cspd_cat","Subgroup Category Count","Product Category","char"
"dbo","pub_sgcc_cat_count","sgcc_count","Subgroup Category Count","Count","int"
"dbo","pub_sgcc_cat_count","sgcc_lock_token","Subgroup Category Count","Lock Token","smallint"
"dbo","pub_sgcc_cat_count","atxr_source_id","Subgroup Category Count","Attachment Source Id","datetime"
