"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sgcs_relation","pubh_sgcs_row_id","Subgroup/Class Relationship table","Row Identifier","numeric"
"dbo","pub_sgcs_relation","pubh_guid","Subgroup/Class Relationship table","Globally Unique Identifier","char"
"dbo","pub_sgcs_relation","pubh_action_cd","Subgroup/Class Relationship table","Data Pub Action Code","char"
"dbo","pub_sgcs_relation","pubh_lsn","Subgroup/Class Relationship table","Log Sequence Number","varbinary"
"dbo","pub_sgcs_relation","pubh_seq_val","Subgroup/Class Relationship table","Transaction Sequence","varbinary"
"dbo","pub_sgcs_relation","sgsg_ck","Subgroup/Class Relationship table","Subgroup Contrived Key","int"
"dbo","pub_sgcs_relation","cscs_id","Subgroup/Class Relationship table","Class Identifier","char"
"dbo","pub_sgcs_relation","sgcs_eff_dt","Subgroup/Class Relationship table","Subgroup/Class Effective Date","datetime"
"dbo","pub_sgcs_relation","grgr_ck","Subgroup/Class Relationship table","Group Address Line 1","int"
"dbo","pub_sgcs_relation","sgcs_term_dt","Subgroup/Class Relationship table","Subgroup/Class Termination Date","datetime"
"dbo","pub_sgcs_relation","sgcs_lock_token","Subgroup/Class Relationship table","Lock Token","smallint"
"dbo","pub_sgcs_relation","atxr_source_id","Subgroup/Class Relationship table","Attachment Source Id","datetime"
