"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sgsc_sg_count","pubh_sgsc_row_id","Subgroup Count","Row Identifier","numeric"
"dbo","pub_sgsc_sg_count","pubh_guid","Subgroup Count","Globally Unique Identifier","char"
"dbo","pub_sgsc_sg_count","pubh_action_cd","Subgroup Count","Data Pub Action Code","char"
"dbo","pub_sgsc_sg_count","pubh_lsn","Subgroup Count","Log Sequence Number","varbinary"
"dbo","pub_sgsc_sg_count","pubh_seq_val","Subgroup Count","Transaction Sequence","varbinary"
"dbo","pub_sgsc_sg_count","sgsg_ck","Subgroup Count","Subgroup Contrived Key","int"
"dbo","pub_sgsc_sg_count","sgsc_mctr_ctyp","Subgroup Count","Type","char"
"dbo","pub_sgsc_sg_count","sgsc_eff_dt","Subgroup Count","Effective Date","datetime"
"dbo","pub_sgsc_sg_count","sgsc_term_dt","Subgroup Count","Termination date","datetime"
"dbo","pub_sgsc_sg_count","sgsc_count","Subgroup Count","Count","int"
"dbo","pub_sgsc_sg_count","sgsc_lock_token","Subgroup Count","Lock Token","smallint"
"dbo","pub_sgsc_sg_count","atxr_source_id","Subgroup Count","Attachment Source Id","datetime"
