"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_umcl_cost_log","pubh_umcl_row_id","Prospective UM Cost Savings Data","Globally Unique Identifier","numeric"
"dbo","pub_umcl_cost_log","pubh_guid","Prospective UM Cost Savings Data","Globally Unique Identifier","char"
"dbo","pub_umcl_cost_log","pubh_action_cd","Prospective UM Cost Savings Data","Data Pub Action Code","char"
"dbo","pub_umcl_cost_log","pubh_lsn","Prospective UM Cost Savings Data","Log Sequence Number","varbinary"
"dbo","pub_umcl_cost_log","pubh_seq_val","Prospective UM Cost Savings Data","Transaction Sequence","varbinary"
"dbo","pub_umcl_cost_log","umum_ref_id","Prospective UM Cost Savings Data","Reference ID","char"
"dbo","pub_umcl_cost_log","umcl_seq_no","Prospective UM Cost Savings Data","Cost Sequence Number","smallint"
"dbo","pub_umcl_cost_log","umcl_from_dt","Prospective UM Cost Savings Data","UM Cost From Date","datetime"
"dbo","pub_umcl_cost_log","umcl_to_dt","Prospective UM Cost Savings Data","UM Cost To Date","datetime"
"dbo","pub_umcl_cost_log","umcl_mctr_cost","Prospective UM Cost Savings Data","UM Cost Type","char"
"dbo","pub_umcl_cost_log","umcl_proj_cost","Prospective UM Cost Savings Data","UM Projected Cost","money"
"dbo","pub_umcl_cost_log","umcl_act_cost","Prospective UM Cost Savings Data","UM Actual Cost","money"
"dbo","pub_umcl_cost_log","umcl_mctr_csts","Prospective UM Cost Savings Data","UM Cost Status","char"
"dbo","pub_umcl_cost_log","umcl_last_upd_dtm","Prospective UM Cost Savings Data","Last Update Datetime UM Cost","datetime"
"dbo","pub_umcl_cost_log","umcl_last_upd_usid","Prospective UM Cost Savings Data","Last Update UM Cost User ID","char"
"dbo","pub_umcl_cost_log","umcl_lock_token","Prospective UM Cost Savings Data","Lock Token","smallint"
"dbo","pub_umcl_cost_log","atxr_source_id","Prospective UM Cost Savings Data","Attachment Source ID","datetime"
