"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_umso_svc_ovr","pubh_umso_row_id","Services Overrides","Row Identifier","numeric"
"dbo","pub_umso_svc_ovr","pubh_guid","Services Overrides","Globally Unique Identifier","char"
"dbo","pub_umso_svc_ovr","pubh_action_cd","Services Overrides","Data Pub Action Code","char"
"dbo","pub_umso_svc_ovr","pubh_lsn","Services Overrides","Log Sequence Number","varbinary"
"dbo","pub_umso_svc_ovr","pubh_seq_val","Services Overrides","Transaction Sequence","varbinary"
"dbo","pub_umso_svc_ovr","umum_ref_id","Services Overrides","Reference Identification Number","char"
"dbo","pub_umso_svc_ovr","umsv_seq_no","Services Overrides","UM Service Sequence Number","smallint"
"dbo","pub_umso_svc_ovr","umso_or_id","Services Overrides","Service Override Indicator","char"
"dbo","pub_umso_svc_ovr","umso_or_amt","Services Overrides","Service Override  Amount","money"
"dbo","pub_umso_svc_ovr","umso_or_value","Services Overrides","Service Override Value","varchar"
"dbo","pub_umso_svc_ovr","umso_or_dt","Services Overrides","Service Override Date Value","datetime"
"dbo","pub_umso_svc_ovr","excd_id","Services Overrides","Procedure Codes Explanation Code","char"
"dbo","pub_umso_svc_ovr","umso_or_usid","Services Overrides","Service Override User ID","char"
"dbo","pub_umso_svc_ovr","umso_lock_token","Services Overrides","Lock Token","smallint"
"dbo","pub_umso_svc_ovr","sys_last_upd_dtm","Services Overrides","Last Update Datetime","datetime"
"dbo","pub_umso_svc_ovr","sys_usus_id","Services Overrides","Last Update User ID","varchar"
"dbo","pub_umso_svc_ovr","sys_dbuser_id","Services Overrides","Last Update DBMS User ID","varchar"
