"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_umsv_services","pubh_umsv_row_id","Pre-Authorization/Referral Services","Row Identifier","numeric"
"dbo","pub_umsv_services","pubh_guid","Pre-Authorization/Referral Services","Globally Unique Identifier","char"
"dbo","pub_umsv_services","pubh_action_cd","Pre-Authorization/Referral Services","Data Pub Action Code","char"
"dbo","pub_umsv_services","pubh_lsn","Pre-Authorization/Referral Services","Log Sequence Number","varbinary"
"dbo","pub_umsv_services","pubh_seq_val","Pre-Authorization/Referral Services","Transaction Sequence","varbinary"
"dbo","pub_umsv_services","umum_ref_id","Pre-Authorization/Referral Services","Reference Identification Number","char"
"dbo","pub_umsv_services","umsv_seq_no","Pre-Authorization/Referral Services","UM Service Sequence Number","smallint"
"dbo","pub_umsv_services","meme_ck","Pre-Authorization/Referral Services","Member Contrived Key","int"
"dbo","pub_umsv_services","umsv_auth_ind","Pre-Authorization/Referral Services","Pre-authorization Indicator","char"
"dbo","pub_umsv_services","umsv_ref_ind","Pre-Authorization/Referral Services","Referral Indicator","char"
"dbo","pub_umsv_services","umsv_type","Pre-Authorization/Referral Services","Type of Care (Elective Urgent or Emergency) Indicator","char"
"dbo","pub_umsv_services","umsv_cat","Pre-Authorization/Referral Services","Medical/Surgical Treatment Category","char"
"dbo","pub_umsv_services","umsv_input_usid","Pre-Authorization/Referral Services","User ID","char"
"dbo","pub_umsv_services","umsv_input_dt","Pre-Authorization/Referral Services","Input Date","datetime"
"dbo","pub_umsv_services","umsv_recd_dt","Pre-Authorization/Referral Services","Received Date","datetime"
"dbo","pub_umsv_services","umsv_next_rev_dt","Pre-Authorization/Referral Services","Next Review Date","datetime"
"dbo","pub_umsv_services","umsv_auth_dt","Pre-Authorization/Referral Services","Authorization (Approval) Date","datetime"
"dbo","pub_umsv_services","umvt_sts","Pre-Authorization/Referral Services","Current and Last Service Status Code","char"
"dbo","pub_umsv_services","umvt_sts_dtm","Pre-Authorization/Referral Services","Service Status Date","datetime"
"dbo","pub_umsv_services","umvt_seq_no","Pre-Authorization/Referral Services","Service Status Sequence Number","smallint"
"dbo","pub_umsv_services","umsv_from_dt","Pre-Authorization/Referral Services","From or Low Service Date","datetime"
"dbo","pub_umsv_services","umsv_to_dt","Pre-Authorization/Referral Services","To or High Service Date","datetime"
"dbo","pub_umsv_services","umsv_prpr_id_req","Pre-Authorization/Referral Services","Requesting or Referring Provider ID","char"
"dbo","pub_umsv_services","umsv_prpr_id_svc","Pre-Authorization/Referral Services","Service Provider ID","char"
"dbo","pub_umsv_services","umsv_prpr_id_fac","Pre-Authorization/Referral Services","Facility ID","char"
"dbo","pub_umsv_services","umsv_prpr_id_pcp","Pre-Authorization/Referral Services","PCP's Provider ID","char"
"dbo","pub_umsv_services","umsv_med_info_rel","Pre-Authorization/Referral Services","Medical Release Indicator","char"
"dbo","pub_umsv_services","umsv_idcd_id_pri","Pre-Authorization/Referral Services","Primary Diagnosis Code","varchar"
"dbo","pub_umsv_services","umsv_idcd_id_rel","Pre-Authorization/Referral Services","Primary Dx's Related Diagnosis ID","varchar"
"dbo","pub_umsv_services","umsv_mdcd_id_pri","Pre-Authorization/Referral Services","Primary Diagnosis Major Diagnostic Category","char"
"dbo","pub_umsv_services","umdx_ref_dtm","Pre-Authorization/Referral Services","Diagnosis Set datetime ID","datetime"
"dbo","pub_umsv_services","umsv_pscd_id_req","Pre-Authorization/Referral Services","Requested Place of Service Code","char"
"dbo","pub_umsv_services","umsv_pscd_pos_req","Pre-Authorization/Referral Services","Inpatient or Outpatient Requested Place of Service Indicator","char"
"dbo","pub_umsv_services","umsv_pscd_id_auth","Pre-Authorization/Referral Services","Authorized Place of Service Code","char"
"dbo","pub_umsv_services","umsv_pscd_pos_auth","Pre-Authorization/Referral Services","Inpatient or Outpatient Authorized Place of Service Indicator","char"
"dbo","pub_umsv_services","umsv_mctr_psor","Pre-Authorization/Referral Services","Authorized Place of Service Reason","char"
"dbo","pub_umsv_services","umsv_pr_nw_sts","Pre-Authorization/Referral Services","Service Provider's Network Status","char"
"dbo","pub_umsv_services","umsv_out_area_ind","Pre-Authorization/Referral Services","Out of Area Indicator","char"
"dbo","pub_umsv_services","umsv_mctr_rind","Pre-Authorization/Referral Services","Referral Type Indicator","char"
"dbo","pub_umsv_services","sese_id","Pre-Authorization/Referral Services","Service Rule Code","char"
"dbo","pub_umsv_services","sese_rule","Pre-Authorization/Referral Services","Primary Products Service Rule","char"
"dbo","pub_umsv_services","sepc_price_id","Pre-Authorization/Referral Services","Service Price ID","char"
"dbo","pub_umsv_services","segr_id","Pre-Authorization/Referral Services","UM Service Group","char"
"dbo","pub_umsv_services","ipcd_id","Pre-Authorization/Referral Services","Procedure Code. ","char"
"dbo","pub_umsv_services","umsv_units_req","Pre-Authorization/Referral Services","Requested Units","smallint"
"dbo","pub_umsv_services","umsv_units_auth","Pre-Authorization/Referral Services","Authorized Units","smallint"
"dbo","pub_umsv_services","umsv_mctr_unit","Pre-Authorization/Referral Services","Authorized Units Differ Reason","char"
"dbo","pub_umsv_services","umsv_charge","Pre-Authorization/Referral Services","Requested Charge","money"
"dbo","pub_umsv_services","umsv_contract_amt","Pre-Authorization/Referral Services","Contracted Amount","money"
"dbo","pub_umsv_services","umsv_negotiate_amt","Pre-Authorization/Referral Services","Negotiated Amount Value","money"
"dbo","pub_umsv_services","umsv_negotiate_pct","Pre-Authorization/Referral Services","Negotiated % of Charge Value","money"
"dbo","pub_umsv_services","umsv_mctr_nfee","Pre-Authorization/Referral Services","Fee Negotiation Reason","char"
"dbo","pub_umsv_services","umsv_price","Pre-Authorization/Referral Services","Price Amount","money"
"dbo","pub_umsv_services","umsv_price_excd","Pre-Authorization/Referral Services","Price Disallow Explanation","char"
"dbo","pub_umsv_services","umsv_disall_excd","Pre-Authorization/Referral Services","Disallow Explanation","char"
"dbo","pub_umsv_services","umsv_mctr_ldny","Pre-Authorization/Referral Services","Service Denial Reason","char"
"dbo","pub_umsv_services","umsv_usid_ldny","Pre-Authorization/Referral Services","Denied By User ID","char"
"dbo","pub_umsv_services","umsv_pre_auth_tos","Pre-Authorization/Referral Services","Pre-auth Requirement at Service ID (TOS) & Rule Indicator","char"
"dbo","pub_umsv_services","umsv_pre_auth_proc","Pre-Authorization/Referral Services","Pre-auth Requirement at Procedure Indicator","char"
"dbo","pub_umsv_services","umsv_pre_auth_diag","Pre-Authorization/Referral Services","Pre-auth Requirement at Primary Diagnosis Indicator","char"
"dbo","pub_umsv_services","umsv_pre_auth_prov","Pre-Authorization/Referral Services","Pre-auth Requirement at Service Provider Indicator","char"
"dbo","pub_umsv_services","umsv_case_mgt_tos","Pre-Authorization/Referral Services","Case Mgmt Requirement at Service ID (TOS) & Rule Indicator","char"
"dbo","pub_umsv_services","umsv_case_mgt_proc","Pre-Authorization/Referral Services","Case Mgmt Requirement at Procedure Indicator","char"
"dbo","pub_umsv_services","umsv_case_mgt_diag","Pre-Authorization/Referral Services","Case Mgmt Requirement at Primary Diagnosis Indicator","char"
"dbo","pub_umsv_services","umsv_me_age","Pre-Authorization/Referral Services","Member's Age","smallint"
"dbo","pub_umsv_services","umsv_per_ind","Pre-Authorization/Referral Services","Notification Period Violation","char"
"dbo","pub_umsv_services","umsv_mctr_pvio","Pre-Authorization/Referral Services","Notification Violation Reason","char"
"dbo","pub_umsv_services","umsv_pr_comp_ind","Pre-Authorization/Referral Services","Provider's Compliance Indicator","char"
"dbo","pub_umsv_services","umsv_mctr_prcm","Pre-Authorization/Referral Services","Provider Non-compliance Reason","char"
