"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_umum_util_mgt","pubh_umum_row_id","UM Review Indicative Information","Row Identifier","numeric"
"dbo","pub_umum_util_mgt","pubh_guid","UM Review Indicative Information","Globally Unique Identifier","char"
"dbo","pub_umum_util_mgt","pubh_action_cd","UM Review Indicative Information","Data Pub Action Code","char"
"dbo","pub_umum_util_mgt","pubh_lsn","UM Review Indicative Information","Log Sequence Number","varbinary"
"dbo","pub_umum_util_mgt","pubh_seq_val","UM Review Indicative Information","Transaction Sequence","varbinary"
"dbo","pub_umum_util_mgt","umum_ref_id","UM Review Indicative Information","Reference Identification Number","char"
"dbo","pub_umum_util_mgt","meme_ck","UM Review Indicative Information","Member Contrived Key","int"
"dbo","pub_umum_util_mgt","grgr_ck","UM Review Indicative Information","Group Contrived Key","int"
"dbo","pub_umum_util_mgt","sbsb_ck","UM Review Indicative Information","Subscriber Contrived Key","int"
"dbo","pub_umum_util_mgt","sgsg_ck","UM Review Indicative Information","Subgroup Contrived Key","int"
"dbo","pub_umum_util_mgt","cmcm_id","UM Review Indicative Information","Case Management ID","char"
"dbo","pub_umum_util_mgt","umum_create_method","UM Review Indicative Information","Create Method","char"
"dbo","pub_umum_util_mgt","umum_create_usid","UM Review Indicative Information","Create User ID","char"
"dbo","pub_umum_util_mgt","umum_create_dt","UM Review Indicative Information","Input Date","datetime"
"dbo","pub_umum_util_mgt","idcd_id","UM Review Indicative Information","Diagnosis Code","varchar"
"dbo","pub_umum_util_mgt","meme_sex","UM Review Indicative Information","Member Gender","char"
"dbo","pub_umum_util_mgt","umum_usid_pri","UM Review Indicative Information","Primary User ID","char"
"dbo","pub_umum_util_mgt","umum_usid_sec","UM Review Indicative Information","Secondary UM User ID","char"
"dbo","pub_umum_util_mgt","umum_acd_ind","UM Review Indicative Information","Accident Indicator","char"
"dbo","pub_umum_util_mgt","umum_acd_dtm","UM Review Indicative Information","Accident Date & Time","datetime"
"dbo","pub_umum_util_mgt","umum_acd_state","UM Review Indicative Information","Accident Occurred in this State","char"
"dbo","pub_umum_util_mgt","umum_other_bn_ind","UM Review Indicative Information","COB Potentials","char"
"dbo","pub_umum_util_mgt","umum_mctr_risk","UM Review Indicative Information","Member's Risk Indicator","char"
"dbo","pub_umum_util_mgt","umum_mctr_qual","UM Review Indicative Information","Quality Indicator","char"
"dbo","pub_umum_util_mgt","umum_mctr_mecm","UM Review Indicative Information","Member Compliance","char"
"dbo","pub_umum_util_mgt","umum_final_care_dt","UM Review Indicative Information","Final Care (End) Date","datetime"
"dbo","pub_umum_util_mgt","umum_deceased_dtm","UM Review Indicative Information","Date & Time of Patient's Death","datetime"
"dbo","pub_umum_util_mgt","umum_ref_id_link","UM Review Indicative Information","Link ID","char"
"dbo","pub_umum_util_mgt","umum_mctr_link","UM Review Indicative Information","Linking UM Reviews Reason","char"
"dbo","pub_umum_util_mgt","umac_seq_no","UM Review Indicative Information","Sequence Number","smallint"
"dbo","pub_umum_util_mgt","mepe_fi","UM Review Indicative Information","Family Coverage Indicator","char"
"dbo","pub_umum_util_mgt","mepe_plan_entry_dt","UM Review Indicative Information","Plan Entry Date","datetime"
"dbo","pub_umum_util_mgt","cspd_cat","UM Review Indicative Information","Class Product Category","char"
"dbo","pub_umum_util_mgt","cscs_id","UM Review Indicative Information","Class Identifier","char"
"dbo","pub_umum_util_mgt","cspi_id","UM Review Indicative Information","Plan Identifier","char"
"dbo","pub_umum_util_mgt","pdpd_id","UM Review Indicative Information","Product ID","char"
"dbo","pub_umum_util_mgt","ntnb_id","UM Review Indicative Information","Facets defined - Note ID","datetime"
"dbo","pub_umum_util_mgt","umum_conf_ind","UM Review Indicative Information","Confinement Indicator","char"
"dbo","pub_umum_util_mgt","pdds_mctr_bcat","UM Review Indicative Information","Business Category","char"
"dbo","pub_umum_util_mgt","umum_edi_resp_dt","UM Review Indicative Information","278 Transaction Set Response Date","datetime"
"dbo","pub_umum_util_mgt","umum_perf_prpr_id","UM Review Indicative Information","External Entity ID","char"
"dbo","pub_umum_util_mgt","umum_alt_ref_id","UM Review Indicative Information","Alternate Reference ID","varchar"
"dbo","pub_umum_util_mgt","umum_icd_ind_proc","UM Review Indicative Information","ICD Version-Processed","char"
"dbo","pub_umum_util_mgt","umum_icd_qual_ind","UM Review Indicative Information","ICD Version Input","char"
"dbo","pub_umum_util_mgt","tein_id","UM Review Indicative Information","ICD Translation Transaction ID","varchar"
"dbo","pub_umum_util_mgt","idcd_id_sub","UM Review Indicative Information","Submitted Diagnosis Code","varchar"
"dbo","pub_umum_util_mgt","umum_lock_token","UM Review Indicative Information","Lock Token","smallint"
"dbo","pub_umum_util_mgt","atxr_source_id","UM Review Indicative Information","Attachment Source Id","datetime"
"dbo","pub_umum_util_mgt","sys_last_upd_dtm","UM Review Indicative Information","Last Update Datetime","datetime"
"dbo","pub_umum_util_mgt","sys_usus_id","UM Review Indicative Information","Last Update User ID","varchar"
"dbo","pub_umum_util_mgt","sys_dbuser_id","UM Review Indicative Information","Last Update DBMS User ID","varchar"
