"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","publisher","entityname","","","varchar"
"dbo","publisher","subentityname","","","varchar"
"dbo","publisher","publisherclass","","","varchar"
"dbo","publisher","publishernumber","","","numeric"
"dbo","publisher","description","","","varchar"
"dbo","publisher","active","","","char"
"dbo","publisher","param1","","","varchar"
"dbo","publisher","param1desc","","","varchar"
"dbo","publisher","param2","","","varchar"
"dbo","publisher","param2desc","","","varchar"
"dbo","publisher","param3","","","varchar"
"dbo","publisher","param3desc","","","varchar"
"dbo","publisher","param4","","","varchar"
"dbo","publisher","param4desc","","","varchar"
"dbo","publisher","param5","","","varchar"
"dbo","publisher","param5desc","","","varchar"
"dbo","publisher","param6","","","varchar"
"dbo","publisher","param6desc","","","varchar"
"dbo","publisher","param7","","","varchar"
"dbo","publisher","param7desc","","","varchar"
