"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","publist","entityname","","","varchar"
"dbo","publist","subentityname","","","varchar"
"dbo","publist","seqno","","","int"
"dbo","publist","dataclass","","","varchar"
"dbo","publist","processorclass","","","varchar"
"dbo","publist","batchno","","","int"
"dbo","publist","statuscode","","","char"
"dbo","publist","updateacr","","","char"
"dbo","publist","pubtype","","","int"
"dbo","publist","lasttxnno","","","numeric"
"dbo","publist","laststartdtm","","","datetime"
"dbo","publist","lastenddtm","","","datetime"
"dbo","publist","lasttxncnt","","","int"
"dbo","publist","publishtype","","","varchar"
"dbo","publist","errormsg","","","char"
"dbo","publist","processorextensionclass","","","varchar"
