"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pubtypeparams","entityname","","","varchar"
"dbo","pubtypeparams","subentityname","","","varchar"
"dbo","pubtypeparams","pubtype","","","int"
"dbo","pubtypeparams","param1","","","varchar"
"dbo","pubtypeparams","param1desc","","","varchar"
"dbo","pubtypeparams","param2","","","varchar"
"dbo","pubtypeparams","param2desc","","","varchar"
"dbo","pubtypeparams","param3","","","varchar"
"dbo","pubtypeparams","param3desc","","","varchar"
"dbo","pubtypeparams","param4","","","varchar"
"dbo","pubtypeparams","param4desc","","","varchar"
"dbo","pubtypeparams","param5","","","varchar"
"dbo","pubtypeparams","param5desc","","","varchar"
