"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","qrtz_fired_triggers","entry_id","","","varchar"
"dbo","qrtz_fired_triggers","trigger_name","","","varchar"
"dbo","qrtz_fired_triggers","trigger_group","","","varchar"
"dbo","qrtz_fired_triggers","is_volatile","","","varchar"
"dbo","qrtz_fired_triggers","instance_name","","","varchar"
"dbo","qrtz_fired_triggers","fired_time","","","bigint"
"dbo","qrtz_fired_triggers","state","","State","varchar"
"dbo","qrtz_fired_triggers","job_name","","","varchar"
"dbo","qrtz_fired_triggers","job_group","","","varchar"
"dbo","qrtz_fired_triggers","is_stateful","","","varchar"
"dbo","qrtz_fired_triggers","requests_recovery","","","varchar"
