"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","qrtz_triggers","trigger_name","","","varchar"
"dbo","qrtz_triggers","trigger_group","","","varchar"
"dbo","qrtz_triggers","job_name","","","varchar"
"dbo","qrtz_triggers","job_group","","","varchar"
"dbo","qrtz_triggers","is_volatile","","","varchar"
"dbo","qrtz_triggers","description","","","varchar"
"dbo","qrtz_triggers","next_fire_time","","","bigint"
"dbo","qrtz_triggers","prev_fire_time","","","bigint"
"dbo","qrtz_triggers","trigger_state","","","varchar"
"dbo","qrtz_triggers","trigger_type","","","varchar"
"dbo","qrtz_triggers","start_time","","","bigint"
"dbo","qrtz_triggers","end_time","","","bigint"
"dbo","qrtz_triggers","calendar_name","","","varchar"
"dbo","qrtz_triggers","misfire_instr","","","smallint"
"dbo","qrtz_triggers","job_data","","","image"
