"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","tp","custno","","TP Identifier","varchar"
"dbo","tp","typ_owner","","Not used","varchar"
"dbo","tp","name","","TP Name","varchar"
"dbo","tp","idqual","","Interchange Qualifier","varchar"
"dbo","tp","idcode","","Interchange Code","varchar"
"dbo","tp","auth_qual","","TP Authentication Qualifier","varchar"
"dbo","tp","auth_code","","TP Authentication code","varchar"
"dbo","tp","secu_qual","","TP Security Qualifier","varchar"
"dbo","tp","secu_code","","TP Security Code","varchar"
"dbo","tp","gsid","","TP group identifier","varchar"
"dbo","tp","shipqual","","TP Ship To ID Qualifier","varchar"
"dbo","tp","shipiden","","TP Ship to ID Code","varchar"
"dbo","tp","billqual","","TP Bill to ID Qualifier","varchar"
"dbo","tp","billiden","","","varchar"
"dbo","tp","addr1","","TP address","varchar"
"dbo","tp","addr2","","TP Address","varchar"
"dbo","tp","city","","TP Address","varchar"
"dbo","tp","state","","TP Address","varchar"
"dbo","tp","country","","TP Address","varchar"
"dbo","tp","zip","","TP Address","varchar"
"dbo","tp","contact1","","TP Contact Name","varchar"
"dbo","tp","telephone1","","TP Contact Phone Number","varchar"
"dbo","tp","contact2","","TP Contact Name","varchar"
"dbo","tp","telephone2","","TP Contact Phone Number","varchar"
"dbo","tp","isa_in_no","","Interchange Reference Number Inbound","varchar"
"dbo","tp","isa_out_no","","Interchange Reference Number Outbound","varchar"
"dbo","tp","snd_gsid","","Group leve ID Code","varchar"
"dbo","tp","snd_idqual","","Interchange level ID Qualifier","varchar"
"dbo","tp","snd_idcode","","Interchange level ID Code","varchar"
"dbo","tp","sub_delimt","","X12 Sub-element Delimeter","varchar"
"dbo","tp","ele_delimt","","X12 Element Delimeter","varchar"
"dbo","tp","seg_delimt","","X12 Segment Delimeter","varchar"
"dbo","tp","release_ch","","X12 Release Character","varchar"
"dbo","tp","x12_repeat","","X12 Repeat Character","varchar"
"dbo","tp","del_code","","Not used","varchar"
"dbo","tp","edif_subdl","","EDIFACT Sub-element Delimeter Override","varchar"
"dbo","tp","edif_eledl","","EDIFACT Element Delimeter","varchar"
"dbo","tp","edif_segdl","","EDIFACT Segment Delimeter","varchar"
"dbo","tp","edif_relch","","EDIFACT Release Character","varchar"
"dbo","tp","edif_repea","","EDIFACT Repeat Character","varchar"
"dbo","tp","hl7_segdl","","HL7 Segment Delimeter","varchar"
"dbo","tp","hl7_eledl","","HL7 Element Delimeter","varchar"
"dbo","tp","hl7_subdl","","HL7 Sub-element Delimeter","varchar"
"dbo","tp","hl7_subsub","","HL7 Componenet Delimiter","varchar"
"dbo","tp","hl7_relch","","HL7 Release Character","varchar"
"dbo","tp","hl7_repeat","","HL7 Repeat Character","varchar"
"dbo","tp","export_flg","","TP Export Flag","varchar"
"dbo","tp","mbox_name","","Mailbox Name","varchar"
"dbo","tp","mailbox","","Mailbox Path","varchar"
"dbo","tp","curr_fmt","","Decimal Character","varchar"
"dbo","tp","pos_ltr","","Reserved for future use","varchar"
"dbo","tp","sndr_route","","Interchange Sender Internal ID","varchar"
"dbo","tp","sndr_subid","","Interchange Sender Internal Sub_ID","varchar"
"dbo","tp","rcvr_route","","Interchange Receiver Internal ID","varchar"
"dbo","tp","rcvr_subid","","Interchange Receiver Internal Sub-ID","varchar"
"dbo","tp","app_snd_ql","","Application Sender ID/ID Code Qualifier","varchar"
"dbo","tp","app_rcv_ql","","Application Recipient ID/ID Code Qualifier","varchar"
"dbo","tp","b_recv_id","","Batch Receiver ID","varchar"
"dbo","tp","b_send_id","","Batch Sender ID","varchar"
"dbo","tp","bin_numb","","Bin Number","int"
"dbo","tp","proc_numb","","Processing Control Number","varchar"
"dbo","tp","serv_qual","","Service Provider ID Qualifier","varchar"
"dbo","tp","serv_id","","Service Provider ID","varchar"
"dbo","tp","soft_id","","Software/vendor ID","varchar"
"dbo","tp","ack_type","","Acknowledgement Flag","varchar"
"dbo","tp","tpkey","","System Generated","numeric"
