"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","tradstat","custno","","Internal identification number","varchar"
"dbo","tradstat","map_tran","","EDI transaction identifier.","varchar"
"dbo","tradstat","st03","","Third element","varchar"
"dbo","tradstat","map_ext","","Map Identifier","varchar"
"dbo","tradstat","dir","","Direction or purpose of maps","varchar"
"dbo","tradstat","stat","","Transcation Mode","varchar"
"dbo","tradstat","vers","","Version","varchar"
"dbo","tradstat","tbcode","","Map Name","varchar"
"dbo","tradstat","mbox_name","","Mailbox Name","varchar"
"dbo","tradstat","dest","","Folder/directory name (full-path)","varchar"
"dbo","tradstat","file","","File name of the trading partner mailbox","varchar"
"dbo","tradstat","gs_no","","Unique functional group control number","varchar"
"dbo","tradstat","isa_type","","ISA type","varchar"
"dbo","tradstat","serv_code","","Service Code","varchar"
"dbo","tradstat","del_code","","Not used","varchar"
"dbo","tradstat","rcv_gsid","","Receiver Group ID","varchar"
"dbo","tradstat","rcv_idqual","","TP Receiver Id Qualifier","varchar"
"dbo","tradstat","rcv_idcode","","Receiver Interchange code","varchar"
"dbo","tradstat","ack_rqstd","","Flag","varchar"
"dbo","tradstat","ack_rqstd2","","Flag","varchar"
"dbo","tradstat","edi_out","","Flag","varchar"
"dbo","tradstat","days","","Days","varchar"
"dbo","tradstat","hours","","Hours","varchar"
"dbo","tradstat","minutes","","Minutes","varchar"
"dbo","tradstat","seconds","","Seconds","varchar"
"dbo","tradstat","appl_ref","","Application Messages","varchar"
"dbo","tradstat","ack_msg","","Flag","varchar"
"dbo","tradstat","ack_intch","","Flag","varchar"
"dbo","tradstat","rcvr_route","","Interchange Receiver Internal ID","varchar"
"dbo","tradstat","rcvr_subid","","Interchange Receiver Internal Sub-ID","varchar"
"dbo","tradstat","app_rcv_ql","","Application Receiver ID/ID Code Qualifier","varchar"
"dbo","tradstat","proc_prior","","Processing Priority Code","varchar"
"dbo","tradstat","comm_agm","","Interchange Agreement Identifier","varchar"
"dbo","tradstat","app_pswd","","Application Password","varchar"
"dbo","tradstat","assoc_code","","Association Assigned Code","varchar"
"dbo","tradstat","cnt_ag1","","Controlling Agency","varchar"
"dbo","tradstat","clist_ver","","Code List Directory Version Number","varchar"
"dbo","tradstat","msg_type","","Message Type Sub-Function Identifier","varchar"
"dbo","tradstat","msg_subid","","Message Subset ID","varchar"
"dbo","tradstat","msg_subver","","Message Subset Version Number","varchar"
"dbo","tradstat","msg_subrel","","Message Subset Release Number","varchar"
"dbo","tradstat","cnt_ag2","","Controlling Agency","varchar"
"dbo","tradstat","msg_impid","","Message Implementation Guideline ID","varchar"
"dbo","tradstat","msg_impver","","Message Implementation Guideline Version Number","varchar"
"dbo","tradstat","msg_imprel","","Message Implementation Guideline Release Number","varchar"
"dbo","tradstat","cnt_ag3","","Controlling Agency","varchar"
"dbo","tradstat","scen_id","","Scenario ID","varchar"
"dbo","tradstat","scen_ver","","Scenario Version Number","varchar"
"dbo","tradstat","scen_rel","","Scenario Release Number","varchar"
"dbo","tradstat","cnt_ag4","","Controlling Agency","varchar"
"dbo","tradstat","std_type","","Standard Type in map","varchar"
"dbo","tradstat","tradkey","","","numeric"
