"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","trlog","afld","","Auto Number","numeric"
"dbo","trlog","run_id","","Runtime ID","int"
"dbo","trlog","typ","","Type Flag","varchar"
"dbo","trlog","run_date","","Runtime Date","datetime"
"dbo","trlog","ackby_date","","Acknowledgement Date","datetime"
"dbo","trlog","trans_code","","Transaction Code","varchar"
"dbo","trlog","trans_name","","Transaction Name","varchar"
"dbo","trlog","tptner_id","","Trading Partner ID","varchar"
"dbo","trlog","version","","X12 Map Version","varchar"
"dbo","trlog","isa_type","","ISA type","varchar"
"dbo","trlog","interchang","","Interchange Code","varchar"
"dbo","trlog","group_no","","Group Number","varchar"
"dbo","trlog","trans_no","","Transaction Number","varchar"
"dbo","trlog","app_rcv_cd","","Application Receiver Code","varchar"
"dbo","trlog","app_snd_cd","","Application Sender Code","varchar"
"dbo","trlog","recv_code","","Interchange Receiver Code","varchar"
"dbo","trlog","send_code","","Interchange Sender Code","varchar"
"dbo","trlog","recv_qual","","Receiver ID Qualifier","varchar"
"dbo","trlog","send_qual","","Sender ID Qualifier","varchar"
"dbo","trlog","errors","","Total Errors","int"
"dbo","trlog","stat","","Status","varchar"
"dbo","trlog","byte_count","","Byte Count","int"
"dbo","trlog","dir","","Direction of map","varchar"
"dbo","trlog","flow_level","","Segment Level","varchar"
"dbo","trlog","record_nam","","Record Name","varchar"
"dbo","trlog","record_no","","Record Number","varchar"
"dbo","trlog","field_name","","Field Name","varchar"
"dbo","trlog","segment","","Segment","varchar"
"dbo","trlog","seg_count","","Segment Count","int"
"dbo","trlog","element","","Element","varchar"
"dbo","trlog","subelem","","Sub-element","varchar"
"dbo","trlog","sev_code","","Severity Code","varchar"
"dbo","trlog","msg_no","","Message Number","varchar"
"dbo","trlog","msg_text","","Message Text","varchar"
"dbo","trlog","filename","","File Name","varchar"
"dbo","trlog","fieldval","","Field Value","varchar"
"dbo","trlog","user_ident","","User-defined Field","varchar"
"dbo","trlog","ack_expect","","TA1 ACK Flag","varchar"
"dbo","trlog","tr_ack_typ","","Group Level ACK Flag","varchar"
"dbo","trlog","t_p_ind","","Test/Production Indicator","varchar"
"dbo","trlog","trans_cnt","","Transaction Count","int"
"dbo","trlog","fileoffset","","File Offset","int"
"dbo","trlog","rcount","","Record Manipulation","smallint"
"dbo","trlog","sndr_route","","Interchange Sender ID","varchar"
"dbo","trlog","sndr_subid","","Interchange Sender Sub_ID","varchar"
"dbo","trlog","rcvr_route","","Interchange Receiver ID","varchar"
"dbo","trlog","rcvr_subid","","Interchange Receiver Internal Sub-ID","varchar"
"dbo","trlog","appl_ref","","application Reference","varchar"
"dbo","trlog","proc_prior","","Processing Priority Code","varchar"
"dbo","trlog","comm_agm","","Interchange Agreement ID","varchar"
"dbo","trlog","app_snd_ql","","Application Sender ID/ID code qualifier","varchar"
"dbo","trlog","app_rcv_ql","","Application Receiver ID/ID code qualifier","varchar"
"dbo","trlog","assoc_code","","Association Assigned Code","varchar"
"dbo","trlog","app_pswd","","Application password","varchar"
"dbo","trlog","clist_ver","","Code List Directory Version","varchar"
"dbo","trlog","msg_type","","Message Type Sub-Function ID","varchar"
"dbo","trlog","rpt_no","","Repeat Number","varchar"
"dbo","trlog","st03","","ST03 Value","varchar"
"dbo","trlog","xml_tag","","","varchar"
"dbo","trlog","xml_uri","","","varchar"
"dbo","trlog","xml_schema","","","varchar"
"dbo","trlog","ctx_fieldval","","","varchar"
"dbo","trlog","ctx_lineno","","","varchar"
"dbo","trlog","ctx_segname","","","varchar"
"dbo","trlog","ctx_element","","","varchar"
"dbo","trlog","ctx_subelement","","","varchar"
"dbo","trlog","ctx_repeatno","","","varchar"
